source,jumlah_var,skor
                    break,0,0
                    pass  # print 'exchanged',0,0
                break,0,0
                else:,0,0
"                flag_exchange, curr_subset = self.check_exchange_greedy(g_m, curr_subset, ground_set, approx, K)",6,0.6
                if flag_exchange:,1,0.1
                ind_e = np.where(subset == e)[0],3,0.3
                pass,0,0
                print 'no increment',0,0
                return subset,1,0.1
                return subset,1,0.1
                return subset,1,0.1
                return subset,1,0.1
                return subset_old,1,0.1
"                return True, subset",2,0.2
"                return True, subset_with_null",2,0.2
                subset[ind_e] = d,2,0.2
"                subset_choosen = np.array(random.sample(subset_c, s))",5,0.5
                subset_choosen = subset_c,2,0.2
                subset_old = subset,2,0.2
                subset_old = subset,2,0.2
"                subset_sel = self.distort_greedy(g, self.K, gamma)",4,0.4
"                subset_sel = self.stochastic_distort_greedy(g, self.K, gamma, delta)",5,0.5
                subset_with_null[r] = d,2,0.2
                val_old = val_curr,1,0.1
"            bcur = bcur.reshape(X.shape[1], 1)",3,0.3
"            bcur = bcur.reshape(X.shape[1], 1)",3,0.3
"            bcur = self.hard_threshold((P_X.dot(bcur) + (np.eye(X.shape[1]) - P_X).dot(y)).reshape(X.shape[1]), self.K)",7,0.7
"            bcur = self.hard_threshold((P_X.dot(bcur) + (np.eye(X.shape[1]) - P_X).dot(y)).reshape(X.shape[1]), self.K)",7,0.7
            bprev = np.copy(tmp),2,0.2
            bprev = np.copy(tmp),2,0.2
            c_mod_inc = c_mod.get_inc_arr(subset).flatten(),2,0.2
"            c_mod_inc = c_mod.get_inc_arr(subset, rest_flag=True, subset_rest=subset_choosen)",4,0.4
"            curr_set = self.get_added(curr_set, idx_to_add)",3,0.3
"            curr_set = self.get_added(curr_set, idx_to_add)",3,0.3
            d = subset_c_gr[c],2,0.2
            delta = 0.05,1,0.1
            e = subset_with_null[r],2,0.2
            elm = subset_c[sel_ind],2,0.2
            elm = subset_choosen[sel_ind],2,0.2
            else:,0,0
            else:,0,0
            else:,0,0
            else:,0,0
            else:,0,0
            else:,0,0
"            f = F({'X': self.X, 'Y': self.Y, 'c': self.c, 'lamb': self.lamb})",5,0.5
"            f = F({'X': self.X, 'Y': self.Y, 'c': self.c, 'lamb': self.lamb})",5,0.5
"            flag_delete, curr_subset = self.check_delete(g_m, curr_subset, approx)",5,0.5
            frac = (1 - gamma / float(K)) ** (K - itr - 1),4,0.4
            frac = (1 - gamma / float(K)) ** (K - itr - 1),4,0.4
            g.update_data_str(elm),2,0.2
            g.update_data_str(elm),2,0.2
            g.update_data_str(idx_to_add),2,0.2
"            g_inc_arr, subset_c_ret = g.get_inc_arr(subset)",4,0.4
"            g_inc_arr, subset_c_ret = g.get_inc_arr(subset, rest_flag=True, subset_rest=subset_choosen)",6,0.6
"            g_m = SubMod({'X': self.X, 'lamb': self.lamb, 'm': m_f})",4,0.4
"            g_m = SubMod({'X': self.X, 'lamb': self.lamb, 'm': m_f})",4,0.4
            g_pos_inc = g_inc_arr + c_mod_inc,3,0.3
            g_pos_inc = g_inc_arr.flatten() + c_mod_inc,3,0.3
            G_subset.append(g.eval(subset_sel)),2,0.2
            gamma = gamma * (1 - delta),3,0.3
            idx_to_add = subset_left[np.argmax(vector)],3,0.3
            idx_to_add = subset_left[np.argmax(vector)],3,0.3
            if e == -1:,1,0.1
            if flag_delete:,1,0.1
            if flag_stochastic:,1,0.1
            if np.max(inc_vec) <= 0:,2,0.2
            if np.max(inc_vec) <= 0:,2,0.2
            if np.max(vector) <= 0:,2,0.2
            if s < subset_c.shape[0]:,2,0.2
            if set(subset) == set(subset_old):,2,0.2
            if set(subset) == set(subset_old):,2,0.2
            if val_curr <= val_old:,2,0.2
            inc_vec = frac * g_pos_inc - c_mod_inc,4,0.4
            inc_vec = frac * g_pos_inc - c_mod_inc,4,0.4
            item_to_del = subset[np.argmax(g_m_subset_vector)],3,0.3
            itr += 1,1,0.1
            itr += 1,1,0.1
            m_f = f.modular_upper_bound(subset_old),3,0.3
            m_f = f.modular_upper_bound(subset_old),3,0.3
"            print 'subset length', subset.shape",1,0.1
"            r, c = np.unravel_index(np.argmax(g_m_exchange, axis=None), g_m_exchange.shape)",7,0.7
"            return False, subset",1,0.1
            return subset_1,1,0.1
            return subset_2,1,0.1
"            return True, subset_left",1,0.1
            sel_ind = np.argmax(inc_vec),3,0.3
            sel_ind = np.argmax(inc_vec),3,0.3
            self.c = data_dict['c'],2,0.2
            self.c = np.square(data_dict['human_pred'] - data_dict['Y']),4,0.4
"            subset = self.constr_submod_max(g_m, self.K)",4,0.4
"            subset = self.constr_submod_max_greedy(g_m, self.K)",4,0.4
            subset = self.CRR_Reg(),2,0.2
            subset = self.CRR_subset(),2,0.2
            subset = self.gamma_sweep_distort_greedy(flag_stochastic=True),3,0.3
"            subset = self.gamma_sweep_distort_greedy(T=param['DG_T'], flag_stochastic=False)",4,0.4
"            subset = self.get_added(subset, elm)",4,0.4
"            subset = self.get_added(subset, elm)",4,0.4
            subset = self.kl_triage_subset(),2,0.2
            subset = self.max_submod_greedy(),2,0.2
            subset = self.sel_subset_diff_submod(),2,0.2
            subset = self.sel_subset_diff_submod_greedy(),2,0.2
            subset[str(r)] = subset_sel,2,0.2
            subset_c = self.get_c(subset),3,0.3
            subset_c = self.get_c(subset),3,0.3
"            subset_left = self.get_minus(subset, item_to_del)",4,0.4
            tmp = np.copy(bcur),3,0.3
            tmp = np.copy(bcur),3,0.3
            v[vsorteddec[i]] = 0,2,0.2
            val_curr = g_f.eval(subset),3,0.3
