source,label,, 
package latexstudio.editor;,declaration,,
import javax.swing.SwingUtilities;,declaration,,
import latexstudio.editor.remote.Cloud;,declaration,,
import latexstudio.editor.remote.DbxUtil;,declaration,,
public class DbxAutoSync implements Runnable {,declaration,,
private final DropboxRevisionsTopComponent drtc = new TopComponentFactory<DropboxRevisionsTopComponent>(),declaration,,
.getTopComponent(DropboxRevisionsTopComponent.class.getSimpleName());,expression,,
"private static final ApplicationLogger LOGGER = new ApplicationLogger(""Cloud Support"");",declaration,,
private int interval;,declaration,,
public DbxAutoSync() {,declaration,,
this(1);,expression,,
public DbxAutoSync(int val) {,declaration,,
this.interval = val;,expression,,
public void setInterval(int interval) {,declaration,,
this.interval = interval;,expression,,
public int getInterval() {,declaration,,
return interval;,expression,,
public void run() {,declaration,,
while(this.interval > 0 && Cloud.getInstance().getStatus() == Cloud.Status.DBX_CONNECTED) {,control,,
try {,control,,
Thread.sleep(this.interval * 1000 * 60);,expression,,
SwingUtilities.invokeLater(new Runnable(){,expression,,
public void run(){,declaration,,
"new DbxFileActions().saveProgress(DbxUtil.getDbxClient(), drtc, false);",expression,,
} catch (InterruptedException ex) {,control,,
"LOGGER.log(""You change the setting of remote auto sync."");",expression,,
package latexstudio.editor;,declaration,,
import com.dropbox.core.DbxException;,declaration,,
import com.dropbox.core.v2.DbxClientV2;,declaration,,
import java.awt.Color;,declaration,,
import java.io.BufferedReader;,declaration,,
import java.io.File;,declaration,,
import java.io.IOException;,declaration,,
import java.io.InputStream;,declaration,,
import java.io.InputStreamReader;,declaration,,
import java.net.URL;,declaration,,
import java.util.ArrayList;,declaration,,
import java.util.Arrays;,declaration,,
if (file != null && file.isFile()) {,control,,
import java.util.List;,declaration,,
import javax.swing.JOptionPane;,declaration,,
import javax.swing.text.BadLocationException;,declaration,,
import javax.swing.text.DefaultHighlighter;,declaration,,
import javax.swing.text.Highlighter;,declaration,,
import latexstudio.editor.files.FileService;,declaration,,
import latexstudio.editor.remote.Cloud;,declaration,,
if (dialogType == FileChooserService.DialogType.SAVE || dialogType == FileChooserService.DialogType.SAVEAS) {,control,,
import latexstudio.editor.remote.DbxUtil;,declaration,,
import latexstudio.editor.settings.ApplicationSettings;,declaration,,
import latexstudio.editor.settings.SettingListener;,declaration,,
if (file != null) {,control,,
import latexstudio.editor.util.ApplicationUtils;,declaration,,
import org.apache.commons.io.IOUtils;,declaration,,
import org.fife.ui.autocomplete.AutoCompletion;,declaration,,
import org.fife.ui.autocomplete.BasicCompletion;,declaration,,
break;,control,,
import org.fife.ui.autocomplete.CompletionProvider;,declaration,,
import org.fife.ui.autocomplete.DefaultCompletionProvider;,declaration,,
import org.fife.ui.rsyntaxtextarea.RSyntaxTextArea;,declaration,,
import org.languagetool.JLanguageTool;,declaration,,
import org.languagetool.language.AmericanEnglish;,declaration,,
if (client == null) {,control,,
import org.languagetool.rules.Rule;,declaration,,
import org.languagetool.rules.spelling.SpellingCheckRule;,declaration,,
import org.netbeans.api.settings.ConvertAsProperties;,declaration,,
try (FileInputStream inputStream = new FileInputStream(file)) {,control,,
